Unnamed: 0,author,comment,belong_likes_count,582,belong_create_time,link,is_long,motion,is_positive,
0,tophercn_,Price,28,1607932598,1651634168,https://www.instagram.com/p/CdHuPWelMt7,0,Happy,1,
1,call_me_qazi,Plz tell me price,28,1608294407,1651634168,https://www.instagram.com/p/CdHuPWelMt7,0,Sad,0,
2,maryam__chaudry,Price?,106,1608917758,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
3,nimi_raza,Price,106,1609490556,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
4,e.bhavanishriya,Pp,106,1609692284,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
5,callmereeman,Pp for onee,106,1610032411,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
6,maira_mobile_clicks,Price,106,1610268467,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
7,abulhassannaqvi5,Price,106,1610275140,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
8,antramodi7250,Price,106,1610352213,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
9,riteshp9537,Boat 441 pro available?,106,1610473024,1651571516,https://www.instagram.com/p/CdF26clo23D,1,Happy,1,
10,mitsyramoscabrera92,Precio ?,106,1610806037,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
11,3bd_el_rahman_adel,Hm,106,1610862911,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
12,__aryan.8_,Whats the cost ??? For airpods Pro case,106,1611159524,1651571516,https://www.instagram.com/p/CdF26clo23D,1,Surprise,1,
13,zhann93_,Brp ni kak,106,1611295274,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
14,e.bhavanishriya,Po,106,1611341872,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
15,sparkyhexer,Price,106,1611341879,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
16,sanya_sanya_sharma,Pp,106,1611407703,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
17,ammarchaudhryyy,Price of pro ?,106,1611543387,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
18,kanasukb,What about price???,106,1611546485,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
19,mercedesmatos213,En cuánto?,106,1611564391,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
20,vasquezar06,Precios xfas,106,1611661922,1651571516,https://www.instagram.com/p/CdF26clo23D,0,Happy,1,
21,1717_king,Price.?,331,1611737330,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
22,beena.yadav86,Pp,331,1611942838,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
23,josh_phile,Price,331,1612114313,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
24,jiaa566,Pp,331,1612171725,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
25,r.27.04,Сколько?,331,1612171750,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
26,devil_killer_nk,Pp,331,1612336349,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
27,anushay_hassan,Price?,331,1612344432,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
28,jarzial_omrahaha,$?,331,1612598652,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
29,atef_farrag,بكام,331,1613290694,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
30,nick_amoa,Price please,331,1613296079,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Sad,0,
31,tarinidalmia,Pp,331,1613479673,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
32,dewik_ariani,Harga,331,1613546146,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
33,advaitt_20,Man do you make cases for air studs craze?,331,1613896159,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,1,Sad,0,
34,_ajay__302__,Price??,331,1614168251,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
35,jaytonfr,How u buy?,331,1614227951,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
36,angel_metushi_2007,Price,331,1614416049,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
37,tophercn_,How much,331,1614454369,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
38,hot._barbie,Price please,331,1614457669,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Sad,0,
39,iamivy.29,Pp for starbucks one,331,1614553999,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,1,Happy,1,
40,karan_hopzzz,Hiii,331,1614609770,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
41,supriyagupta_07,Pp,331,1614609787,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
42,techyysky,Po,331,1614865833,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
43,techyysky,Pp,331,1614933944,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
44,_.theyyluvari,Price please,331,1615571049,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Sad,0,
45,youssefalwaysbusy,Price pls,331,1615793400,1644570903,https://www.instagram.com/p/CZ1OTaIFQ0p,0,Happy,1,
