Unnamed: 0,author,comment,belong_likes_count,time,belong_create_time,link,is_long,motion,is_positive,,
0,_keshavb_,Price ?,97,1644788955,1642608377,https://www.instagram.com/p/CY6vFNFlobK,0,Happy,1,,
1,gurpreetsinghsany,Price iPhone 11 da,97,1644852133,1642608377,https://www.instagram.com/p/CY6vFNFlobK,0,Happy,1,,
2,an.uragdrdz,Vivo x1z,97,1645286165,1642608377,https://www.instagram.com/p/CY6vFNFlobK,0,Happy,1,,
3,mani___chlm,Airpods price,97,1647190478,1642608377,https://www.instagram.com/p/CY6vFNFlobK,0,Happy,1,,
4,youssefkhaled_privv,Iphone x,97,1647623161,1642608377,https://www.instagram.com/p/CY6vFNFlobK,0,Happy,1,,
5,nisha.2111,Hi I am looking for apple airpods pro case,113,1627906910,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,1,Happy,1,,
6,nisha.2111,How to order,113,1627906916,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
7,urs__pardeep_,price?,113,1628134202,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
8,i_m_suhaib_,Pp,113,1628167475,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
9,aggarwal.sonali,Pp,113,1628858922,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
10,aaradhya_agarwal_02,Price,113,1630431007,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
11,smridhichowdhryyyy,Pp,113,1630614248,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
12,itx_ashu____,Price?,113,1631000610,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
13,unika_90,"Precio,?",113,1631670083,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
14,itx_ashu____,Price,113,1632222987,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
15,rahmamohammed491,في من ابو,113,1632919343,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
16,iamritika_arora,Pp,113,1633044036,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,0,Happy,1,,
17,jaison_joseph17,For iPhone 12 Pro price,113,1634799428,1627743892,https://www.instagram.com/p/CR_vU5kjwQN,1,Happy,1,,
