author,comment,belong_likes_count,time,belong_create_time,link,is_long,motion,is_positive
Jwarr_4,No Cap in the AirPods,0,2022-05-14 23:58:41+00:00,2022-05-14 23:58:41+00:00,https://twitter.com/Jwarr_4/status/1525626686213017600,1,Happy,1
NiaTyese,Haven’t charged my AirPods in 3 days just died on me at Work 😩,1,2022-05-14 23:58:05+00:00,2022-05-14 23:58:05+00:00,https://twitter.com/NiaTyese/status/1525626536350580737,1,Happy,1
harife_t,just realized i forgot my airpods as i’m about to take a flight 🥲,1,2022-05-14 23:56:49+00:00,2022-05-14 23:56:49+00:00,https://twitter.com/harife_t/status/1525626215821783040,1,Angry,0
reyna_lara16,Lived my white girl dream of walking in a big city while it was raining &lt;3 Put my AirPods on and the wallows were blasting in my ear,1,2022-05-14 23:56:32+00:00,2022-05-14 23:56:32+00:00,https://twitter.com/reyna_lara16/status/1525626147333087232,1,Surprise,1
dejxjay,when i don’t have my airpods i get shortness of breath and my chest start hurting,1,2022-05-14 23:56:05+00:00,2022-05-14 23:56:05+00:00,https://twitter.com/dejxjay/status/1525626030718963714,1,Surprise,1
x_Indulgence,I’m sooooo mad !! I left my headphones at home now I gotta use these stupid ass AirPods to workout 😔,0,2022-05-14 23:55:53+00:00,2022-05-14 23:55:53+00:00,https://twitter.com/x_Indulgence/status/1525625981142188032,1,Angry,0
e1kra,do your ears not hurt when you've had your airpods in for too long??,478,2022-05-14 23:55:11+00:00,2022-05-14 23:55:11+00:00,https://twitter.com/e1kra/status/1525625804629106690,1,Sad,0
Kwaku_xxx,@Sister_Grr Thought you’re in Kumasi,0,2022-05-14 23:55:06+00:00,2022-05-14 23:55:06+00:00,https://twitter.com/Kwaku_xxx/status/1525625785138159624,1,Surprise,1
gyumrk,@ha00_m3g MY AIRPODS JUST BUSYED,0,2022-05-14 23:54:04+00:00,2022-05-14 23:54:04+00:00,https://twitter.com/gyumrk/status/1525625526383263744,1,Fear,0
yaitzaenidx,if anybody wants to buy me airpods go right ahead 😊,0,2022-05-14 23:52:53+00:00,2022-05-14 23:52:53+00:00,https://twitter.com/yaitzaenidx/status/1525625228495290368,1,Fear,0
whoissshelly,did i leave my airpods in my dream or something like? wear is that bitch at?!,2,2022-05-14 23:52:21+00:00,2022-05-14 23:52:21+00:00,https://twitter.com/whoissshelly/status/1525625092637659136,1,Happy,1
volencaa,i cant stand those mother fucker noises in the house without my airpods😫,0,2022-05-14 23:52:07+00:00,2022-05-14 23:52:07+00:00,https://twitter.com/volencaa/status/1525625032847896578,1,Fear,0
iymurgod,my airpods been dead for like 4 months 🫣,1,2022-05-14 23:51:51+00:00,2022-05-14 23:51:51+00:00,https://twitter.com/iymurgod/status/1525624966107975680,1,Happy,1
Kwaku_xxx,"@Sister_Grr Yes please , when are you free?",0,2022-05-14 23:51:22+00:00,2022-05-14 23:51:22+00:00,https://twitter.com/Kwaku_xxx/status/1525624845320523777,1,Sad,0
ammoungus,find my iphone for airpods is the most useless fucking shit,1,2022-05-14 23:49:52+00:00,2022-05-14 23:49:52+00:00,https://twitter.com/ammoungus/status/1525624469699575810,1,Happy,1
Kwaku_xxx,@Nyamewaaaaa I want to enjoy it,0,2022-05-14 23:49:30+00:00,2022-05-14 23:49:30+00:00,https://twitter.com/Kwaku_xxx/status/1525624375348711426,1,Happy,1
Jay3Wil,I haven’t figured out why y’all wear AirPods in the party yet.,4,2022-05-14 23:49:29+00:00,2022-05-14 23:49:29+00:00,https://twitter.com/Jay3Wil/status/1525624373364801539,1,Happy,1
Kwaku_xxx,@Sister_Grr I’d love to return the same energy,0,2022-05-14 23:49:10+00:00,2022-05-14 23:49:10+00:00,https://twitter.com/Kwaku_xxx/status/1525624292817670144,1,Happy,1
mowaseife,@tee4tolani Break out make we turn up guy 🧘🏽‍♂️,0,2022-05-14 23:48:45+00:00,2022-05-14 23:48:45+00:00,https://twitter.com/mowaseife/status/1525624185057427462,1,Surprise,1
volencaa,my dumbass brother just eating food in the kitchen (yes its 3 am) i can hear all of his annoying noises and i dont wanna get out of the bed and get my airpods,0,2022-05-14 23:48:19+00:00,2022-05-14 23:48:19+00:00,https://twitter.com/volencaa/status/1525624078974996482,1,Sad,0
orbjsn,does anyone else with airpods pro get the problem where one refuses to charge? like it has to be in there for hours before it even starts even when the other one and the case are charging fine,0,2022-05-14 23:47:57+00:00,2022-05-14 23:47:57+00:00,https://twitter.com/orbjsn/status/1525623986788478983,1,Happy,1
asitwaslrh,"airpods aren’t enough, i want 5sos to scream me, myself &amp; i in my face",1,2022-05-14 23:47:41+00:00,2022-05-14 23:47:41+00:00,https://twitter.com/asitwaslrh/status/1525623918635130880,1,Happy,1
