author,comment,belong_likes_count,time,belong_create_time,link,is_long,motion,is_positive
DigiDesignsFL,"Apple I watch charger
https://t.co/bw9vl7mXZR
#apple #iwatch https://t.co/WZomTErf3K",0,2022-05-14 23:58:19+00:00,2022-05-14 23:58:19+00:00,https://twitter.com/DigiDesignsFL/status/1525626592625557504,1,Surprise,1
Our2ndunicorn,"android got nothing on the apple ecosystem like apple watch, iphone, macbook, imac, ipad all in sync with each other a force to be reckoned with",0,2022-05-14 23:57:44+00:00,2022-05-14 23:57:44+00:00,https://twitter.com/Our2ndunicorn/status/1525626449008291840,1,Fear,0
weijun78,Scrunchie Strap for Apple Watch Band https://t.co/4Vcf5HyREx https://t.co/cC2XIQDH9A,0,2022-05-14 23:57:20+00:00,2022-05-14 23:57:20+00:00,https://twitter.com/weijun78/status/1525626345254014976,1,Surprise,1
KSlazinski,"@SattarFalahati Infinite loop of Apple Watch madness: 

iPhone is busy: Preparing the watch for development via iPhone 😱😰😬",8,2022-05-14 23:57:10+00:00,2022-05-14 23:57:10+00:00,https://twitter.com/KSlazinski/status/1525626304548048897,1,Surprise,1
KillerFruitcake,"Taking a walk without your Fitbit/Apple Watch is the same as auditing a course in college. You still benefit, but you get no credit.",6,2022-05-14 23:55:47+00:00,2022-05-14 23:55:47+00:00,https://twitter.com/KillerFruitcake/status/1525625955775135744,1,Fear,0
katriiingg,Thank you naman po sa pa apple watch 🥰,0,2022-05-14 23:55:46+00:00,2022-05-14 23:55:46+00:00,https://twitter.com/katriiingg/status/1525625950838218752,1,Surprise,1
dogebonkin,@YahooFinance @DanielHowley A round Apple Watch…,0,2022-05-14 23:53:12+00:00,2022-05-14 23:53:12+00:00,https://twitter.com/dogebonkin/status/1525625306400555008,1,Happy,1
Now_Eye_See,"Visiting my mom I'm forever forced to watch""Flip or Flop."" I finally blurted out, ""Her Adam's apple is showing. ""
Crickets.
I try. 🤷‍♀️ https://t.co/SbKOL5atFa",21,2022-05-14 23:53:02+00:00,2022-05-14 23:53:02+00:00,https://twitter.com/Now_Eye_See/status/1525625263312207872,1,Fear,0
kanadianbest,C$21.24 - #FreeShipping | Here&amp;#39;s a deal that&amp;#39;s going to make your summer fun!  LK 8 Pack Screen Protector for Apple Watch #LK       👉 https://t.co/uuQWDgXYIv       #sharious  #canadianbestseller  #canada #usa #product #40mm  #AntiScratch  #Apple . https://t.co/mNXRRHprK9,0,2022-05-14 23:51:13+00:00,2022-05-14 23:51:13+00:00,https://twitter.com/kanadianbest/status/1525624805403279362,1,Happy,1
gatz_the,@VerdeSelvans That’s a nice watch. Maybe I’ll get one for my other wrist. I think the curviness of the Apple Watch is nice and the fit is legit if only they can give us a true no bezel display. But I’m happy at the time https://t.co/aqQ4XjVh4e,0,2022-05-14 23:50:20+00:00,2022-05-14 23:50:20+00:00,https://twitter.com/gatz_the/status/1525624586607505411,1,Happy,1
kgyeongi,ill never forgive myself for selling my apple watch,2,2022-05-14 23:49:32+00:00,2022-05-14 23:49:32+00:00,https://twitter.com/kgyeongi/status/1525624384806862849,1,Surprise,1
LGonTV,"My bug spray took the color off my Apple Watch cover.

That can not be good",14,2022-05-14 23:47:34+00:00,2022-05-14 23:47:34+00:00,https://twitter.com/LGonTV/status/1525623888549380099,1,Surprise,1
kbaileyjava2,Another fuck you to whoever at @Apple thought it was a smart idea to stop designing laptops without CD ports and having to plug in another part to do so which makes it nearly impossible to watch a movie on a bus trip home! H8 that my portable DVD player’s charger stopped working,1,2022-05-14 23:47:30+00:00,2022-05-14 23:47:30+00:00,https://twitter.com/kbaileyjava2/status/1525623871663132675,1,Surprise,1
rsobers,TFW lifting a bottle of beer to your mouth closes the calorie burning ring on your Apple Watch.,4,2022-05-14 23:47:28+00:00,2022-05-14 23:47:28+00:00,https://twitter.com/rsobers/status/1525623863144599553,1,Sad,0
YahooFinance,Google’s Pixel Watch will to take on the Apple Watch this fall https://t.co/ESjrWqcxZl by @DanielHowley https://t.co/RobChUPX62,41,2022-05-14 23:46:10+00:00,2022-05-14 23:46:10+00:00,https://twitter.com/YahooFinance/status/1525623535024148481,1,Surprise,1
Manny_fresh2497,How I lose my second Apple Watch charger smh bruh,0,2022-05-14 23:45:36+00:00,2022-05-14 23:45:36+00:00,https://twitter.com/Manny_fresh2497/status/1525623393935970304,1,Surprise,1
thalleshnaraujo,"Things I don’t like on the @Apple products I own:

#5 - Non-percented battery indicator on notched iPhones
#4 - iOS calendar app
#3 - macOS window management
#2 - Watch S7 keyboard non-deactivable, 🇺🇸-only autocorrect
#1 - iPhone 13 Pro automatic macro mode

#apple #iPhone #ios",0,2022-05-14 23:43:54+00:00,2022-05-14 23:43:54+00:00,https://twitter.com/thalleshnaraujo/status/1525622966805008384,1,Surprise,1
isyyxox_,I wish I could ping my vape like I ping my phone from my apple watch 😂😂,0,2022-05-14 23:43:36+00:00,2022-05-14 23:43:36+00:00,https://twitter.com/isyyxox_/status/1525622890636484608,1,Surprise,1
NYCFirm,"I do love having to restart my TV, phone, and reset Apple HomeKit once a half every time @YESNetwork makes me watch #nycfc on their app, rather than broadcasting it on their unused overflow channel, that would just work.",3,2022-05-14 23:43:25+00:00,2022-05-14 23:43:25+00:00,https://twitter.com/NYCFirm/status/1525622846487252992,1,Fear,0
hicky505,How can I find my apple watch on the available sensors screen in Strava app? #Strava,0,2022-05-14 23:41:45+00:00,2022-05-14 23:41:45+00:00,https://twitter.com/hicky505/status/1525622424187744256,1,Surprise,1
