author,comment,belong_likes_count,time,belong_create_time,link,is_long,motion,is_positive
GeoffFleming4,@macsween_prue Is this a plea for your family to take your iPhone away from you?,0,2022-05-14 23:59:57+00:00,2022-05-14 23:59:57+00:00,https://twitter.com/GeoffFleming4/status/1525627006657781760,1,Angry,0
DiaIlyasse,Iphone 12 Pro Max Dual https://t.co/IpM7Xc7pdJ,0,2022-05-14 23:59:45+00:00,2022-05-14 23:59:45+00:00,https://twitter.com/DiaIlyasse/status/1525626953725771776,1,Happy,1
seb3153,@Jonttiifyy @jatin0x01 @SimsEnjoy2 @WillRBishop Also a bad example saying a S3 with an iPhone 5,0,2022-05-14 23:59:44+00:00,2022-05-14 23:59:44+00:00,https://twitter.com/seb3153/status/1525626950445944832,1,Surprise,1
texcoAlex,@ThatAstrosGirl Took me a Altuve home run minute to get used to it lol! Just got iPhone 13 pro a few weeks ago,1,2022-05-14 23:59:44+00:00,2022-05-14 23:59:44+00:00,https://twitter.com/texcoAlex/status/1525626949304918016,1,Surprise,1
barevanillababy,communism is when we have no victorias secret or dior lip glow or iphone wym!? https://t.co/Y9WxFKHDeD,3,2022-05-14 23:59:37+00:00,2022-05-14 23:59:37+00:00,https://twitter.com/barevanillababy/status/1525626920548765696,1,Angry,0
MerdyWorld79,@SportFamSRocks @Hockeygirl3784 My iPhone 7 I’ve had almost 3 years &amp; it’s hanging by a thread on life support 😅😅,2,2022-05-14 23:59:28+00:00,2022-05-14 23:59:28+00:00,https://twitter.com/MerdyWorld79/status/1525626883173494785,1,Fear,0
bloodyvag22,@BOOTYWOLS this is how everyone knows you barely got an iphone 🤭,1,2022-05-14 23:59:26+00:00,2022-05-14 23:59:26+00:00,https://twitter.com/bloodyvag22/status/1525626875321540608,1,Happy,1
cookster1313,@JoJoFromJerz Yeah —. Totally fuck that!!!  My iPhone doesn’t even try to change me anymore!!  #FuckNotDuck,0,2022-05-14 23:59:05+00:00,2022-05-14 23:59:05+00:00,https://twitter.com/cookster1313/status/1525626787065208834,1,Happy,1
ZaarinCOD,"My East Playoff bracket predictions:

(Sorry about the iPhone pic lol) https://t.co/o2Syha8nbE",1,2022-05-14 23:58:48+00:00,2022-05-14 23:58:48+00:00,https://twitter.com/ZaarinCOD/status/1525626715447468032,1,Sad,0
YLLi107654321,@elonmusk Iphone either,0,2022-05-14 23:58:34+00:00,2022-05-14 23:58:34+00:00,https://twitter.com/YLLi107654321/status/1525626656940912640,1,Happy,1
Wolfite_,"@IkarusKB I can test iPhone, iPad &amp; iMac XD",0,2022-05-14 23:58:22+00:00,2022-05-14 23:58:22+00:00,https://twitter.com/Wolfite_/status/1525626604902174720,1,Happy,1
