Unnamed: 0,author,comment,belong_likes_count,time,belong_create_time,link,is_long,motion,is_positive
0,refiqe7890,Apple Watch  rose gold var?,137,1652755068,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Surprise,1
1,benoseelizade4,Isınız avand olsun,137,1652764449,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,0,Happy,1
2,mehribbayev,Səhifənizi sevərək izləyirəm 🤍,137,1652731962,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
3,metbex_robotu,Texniki xidmətiniz var?,137,1652754196,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
4,lema.n1064,Kartla ödəniş mümkündür?,137,1652728763,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
5,banu13648,Qazanciniz bol olsun,137,1652730645,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
6,melek18605,Aksesuarlar olur sizde,137,1652729423,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
7,ayte.nmirzeyeva,Rayonlara çatdırılma edirsiz?,137,1652728189,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
8,jale.celil,Çatdırılma edirsiz?,137,1652727974,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,0,Happy,1
9,lalem9700,Power bank olur sizde,137,1652729345,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Angry,0
10,fidan80087,Daxili kredit var sizdə?,137,1652730826,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
11,dekor_sifarisi_el_iwleri,Dmya baxarsiz zehmet olmasa,137,1652730435,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,1,Happy,1
12,alisa_mocuzeler_diyarinda1,Catdirilma var?,137,1652730438,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,0,Happy,1
13,zuzu7825,Cox munasibdi,137,1652721458,1652719569,https://www.instagram.com/p/CdoEmp2KaJC,0,Happy,1
